Date,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-05-20,Gemini API,AEFD-7695-64FA,75.29,0.00,0.00,-11.78,63.508142,63.51
2026-05-20,Artifact Registry,149C-F9EC-3994,7.27,0.00,0.00,-0.85,6.419134,6.42
2026-05-20,Cloud Run,152E-C115-5142,6.63,0.00,0.00,-0.86,5.765377,5.77
2026-05-20,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,-0.28,2.067506,2.07
2026-05-20,Cloud Storage,95FF-2EF5-5EA1,1.34,0.00,0.00,-0.00,1.335604,1.34
2026-05-20,Cloud Build,8B5D-EF7D-EB12,1.26,0.00,0.00,-0.22,1.030222,1.03
2026-05-20,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,-0.02,0.156896,0.16
2026-05-20,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,-0.05,0.091682,0.09
2026-05-20,App Engine,F17B-412E-CB64,1.29,0.00,0.00,-1.27,0.018889,0.02
2026-05-20,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-19,Gemini API,AEFD-7695-64FA,37.21,0.00,0.00,-19.60,17.613043,17.61
2026-05-19,Artifact Registry,149C-F9EC-3994,7.15,0.00,0.00,-3.65,3.502107,3.50
2026-05-19,Cloud Run,152E-C115-5142,6.34,0.00,0.00,-3.13,3.212536,3.21
2026-05-19,App Engine,F17B-412E-CB64,1.27,0.00,0.00,-0.01,1.263347,1.26
2026-05-19,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,-1.17,1.185825,1.19
2026-05-19,Cloud Build,8B5D-EF7D-EB12,1.33,0.00,0.00,-0.73,0.603401,0.60
2026-05-19,Cloud Storage,95FF-2EF5-5EA1,1.34,0.00,0.00,-1.10,0.242121,0.24
2026-05-19,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,-0.09,0.089833,0.09
2026-05-19,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-19,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,-0.20,-0.059021,-0.06
2026-05-18,Gemini API,AEFD-7695-64FA,47.37,0.00,0.00,0.00,47.368487,47.37
2026-05-18,Artifact Registry,149C-F9EC-3994,6.97,0.00,0.00,0.00,6.966763,6.97
